SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,24,021,Maryland,Frederick County,2,272737,135253,137484,16054,8101,7953,32550,16700,15850,15108,7715,7393,22448,11413,11035,216509,106574,109935,209025,102737,106288,105375,53194,52181,71677,36040,35637,74373,37069,37304,40527,18215,22312,16054,8101,7953,17386,8896,8490,19022,9778,9244,18045,9184,8861,15653,7970,7683,15794,8036,7758,18206,9129,9077,19544,9757,9787,18133,9118,9015,17734,8892,8842,19438,9738,9700,20238,10117,10121,16963,8322,8641,13619,6507,7112,10857,5174,5683,7135,3159,3976,4378,1867,2511,4538,1508,3030,39.1,38.3,39.9
050,24,021,Maryland,Frederick County,3,279835,138585,141250,16198,8203,7995,33270,16940,16330,15623,7930,7693,22808,11554,11254,222373,109356,113017,214744,105512,109232,109443,55141,54302,75061,37733,37328,74702,37214,37488,42173,19011,23162,16198,8203,7995,17984,9089,8895,19335,9927,9408,18311,9274,9037,16071,8134,7937,16256,8215,8041,18821,9447,9374,20621,10303,10318,19363,9768,9595,17444,8741,8703,19578,9831,9747,20122,10050,10072,17558,8592,8966,14074,6752,7322,11476,5436,6040,7397,3287,4110,4676,2002,2674,4550,1534,3016,39.1,38.4,39.8
050,24,023,Maryland,Garrett County,1,28806,14359,14447,1372,690,682,2576,1307,1269,1378,761,617,1987,1073,914,24187,12003,12184,23480,11601,11879,9430,4891,4539,6386,3226,3160,8535,4202,4333,6572,3100,3472,1372,690,682,1388,697,691,1509,779,730,1599,907,692,1445,758,687,1662,833,829,1529,791,738,1557,759,798,1638,843,795,1814,866,948,1968,984,984,2318,1149,1169,2435,1203,1232,2086,1045,1041,1750,857,893,1229,597,632,778,362,416,729,239,490,47.2,45.7,48.3
050,24,023,Maryland,Garrett County,2,28761,14347,14414,1367,691,676,2556,1294,1262,1375,763,612,1973,1067,906,24173,12005,12168,23463,11599,11864,9414,4893,4521,6385,3232,3153,8506,4192,4314,6599,3108,3491,1367,691,676,1390,698,692,1485,765,720,1589,903,686,1440,758,682,1652,831,821,1539,796,743,1548,762,786,1646,843,803,1787,857,930,1959,978,981,2304,1142,1162,2456,1215,1241,2098,1050,1048,1761,864,897,1234,595,639,768,354,414,738,245,493,47.2,45.8,48.4
050,24,023,Maryland,Garrett County,3,28702,14302,14400,1334,682,652,2542,1278,1264,1349,747,602,1942,1056,886,24181,11992,12189,23477,11595,11882,9428,4889,4539,6451,3252,3199,8369,4124,4245,6715,3163,3552,1334,682,652,1409,699,710,1447,745,702,1558,881,677,1419,756,663,1622,824,798,1628,826,802,1527,764,763,1674,838,836,1682,815,867,1977,965,1012,2212,1114,1098,2498,1230,1268,2124,1062,1062,1833,903,930,1261,601,660,779,358,421,718,239,479,47.4,45.9,48.7
050,24,025,Maryland,Harford County,1,260924,128545,132379,14402,7371,7031,30047,15399,14648,14086,7262,6824,20582,10861,9721,209495,102151,107344,202389,98513,103876,96942,49012,47930,65797,32724,33073,73031,35850,37181,42979,19078,23901,14402,7371,7031,16015,8203,7812,17555,9031,8524,16380,8675,7705,14765,7613,7152,15615,7895,7720,16491,8214,8277,17813,8784,9029,15878,7831,8047,16533,8114,8419,18310,8954,9356,20145,9953,10192,18043,8829,9214,14362,6803,7559,11753,5472,6281,7840,3441,4399,4649,1935,2714,4375,1427,2948,40.4,39.1,41.7
050,24,025,Maryland,Harford County,2,261122,128646,132476,14399,7367,7032,30070,15389,14681,14096,7278,6818,20514,10834,9680,209638,102245,107393,202557,98612,103945,97099,49099,48000,66028,32832,33196,72767,35731,37036,43248,19215,24033,14399,7367,7032,16081,8226,7855,17528,9008,8520,16337,8649,7688,14734,7618,7116,15647,7910,7737,16491,8203,8288,17857,8827,9030,16033,7892,8141,16351,8046,8305,18238,8923,9315,20047,9906,10141,18131,8856,9275,14484,6860,7624,11861,5515,6346,7863,3453,4410,4692,1962,2730,4348,1425,2923,40.4,39.1,41.7
050,24,025,Maryland,Harford County,3,262977,129487,133490,14307,7358,6949,30107,15324,14783,14182,7312,6870,20566,10895,9671,211411,103078,108333,204381,99493,104888,98664,49935,48729,67527,33600,33927,71877,35208,36669,44411,19790,24621,14307,7358,6949,16294,8297,7997,17424,8899,8525,16325,8604,7721,14812,7731,7081,15739,8015,7724,16842,8346,8496,18159,9001,9158,16787,8238,8549,15588,7695,7893,18134,8839,9295,19630,9663,9967,18525,9011,9514,14849,7031,7818,12368,5740,6628,8054,3571,4483,4877,2013,2864,4263,1435,2828,40.4,39.2,41.7
050,24,027,Maryland,Howard County,1,332317,163543,168774,18954,9792,9162,42310,21735,20575,19976,10223,9753,25740,13227,12513,261163,126923,134240,251077,121793,129284,128657,63731,64926,87868,42831,45037,90338,44361,45977,47131,21374,25757,18954,9792,9162,22592,11646,10946,24645,12639,12006,22664,11642,11022,18125,9258,8867,18977,9617,9360,20709,10059,10650,24384,11624,12760,23798,11531,12267,23231,11368,11863,23203,11213,11990,23760,11770,11990,20144,10010,10134,15780,7572,8208,12959,6036,6923,8762,3876,4886,4993,2149,2844,4637,1741,2896,39.0,38.2,39.9
050,24,027,Maryland,Howard County,2,332722,163743,168979,18872,9737,9135,42320,21733,20587,20017,10256,9761,25742,13221,12521,261607,127154,134453,251513,122017,129496,128784,63815,64969,87983,42910,45073,90263,44342,45921,47525,21544,25981,18872,9737,9135,22589,11643,10946,24689,12662,12027,22650,11629,11021,18151,9276,8875,18936,9613,9323,20745,10080,10665,24346,11605,12741,23956,11612,12344,23165,11343,11822,23177,11214,11963,23675,11712,11963,20246,10073,10173,15872,7602,8270,13064,6103,6961,8879,3920,4959,5070,2177,2893,4640,1742,2898,39.1,38.2,39.9
